time_sec,window_start,window_end,raw_bpm,quality,accepted,final_bpm,rejection_reason
9.0,3.0,15.0,75.03633008981862,7.50566367974736,True,75.03633008981862,
10.0,4.0,16.0,75.03633008981862,6.9924582988738235,True,75.03633008981862,
11.0,5.0,17.0,75.03633008981862,6.202828588296407,True,75.03633008981862,
12.0,6.0,18.0,75.03633008981862,5.786966443558515,True,75.03633008981862,
13.0,7.0,19.0,70.03390808383071,6.3093373251433,True,70.03390808383071,
14.0,8.0,20.0,74.93196801737103,6.4566019839171505,True,74.93196801737103,
15.0,9.0,21.0,74.93196801737103,6.797350914198254,True,74.93196801737103,
16.0,10.0,22.0,75.03633008981862,6.56236340875493,True,75.03633008981862,
17.0,11.0,23.0,75.03633008981862,6.4497802161546876,True,75.03633008981862,
18.0,12.0,24.0,75.03633008981862,6.4865487175119245,True,75.03633008981862,
19.0,13.0,25.0,75.03633008981862,6.66665756311816,True,75.03633008981862,
20.0,14.0,26.0,75.03633008981862,6.525192792116474,True,75.03633008981862,
21.0,15.0,27.0,69.93650348287963,7.030009734683093,True,69.93650348287963,
22.0,16.0,28.0,69.93650348287963,7.3322872364521325,True,69.93650348287963,
23.0,17.0,29.0,70.03390808383071,5.485598577165404,True,70.03390808383071,
24.0,18.0,30.0,70.03390808383071,3.414295694485549,False,,low_quality
25.0,19.0,31.0,60.02906407185489,3.8306229637890685,False,,low_quality
26.0,20.0,32.0,60.02906407185489,4.234113559062394,False,,low_quality
27.0,21.0,33.0,70.03390808383071,3.8917891113632552,False,,low_quality
28.0,22.0,34.0,69.93650348287963,6.78872385417966,True,69.93650348287963,
29.0,23.0,35.0,69.93650348287963,7.986064069831165,True,69.93650348287963,
30.0,24.0,36.0,69.93650348287963,8.068859123771606,True,69.93650348287963,
31.0,25.0,37.0,70.03390808383071,8.18356811058029,True,70.03390808383071,
32.0,26.0,38.0,70.03390808383071,8.093639938929666,True,70.03390808383071,
33.0,27.0,39.0,70.03390808383071,8.592681691693572,True,70.03390808383071,
34.0,28.0,40.0,70.03390808383071,9.31215259819388,True,70.03390808383071,
