time_sec,window_start,window_end,combined_bpm,combined_quality,forehead_bpm,forehead_quality,left_cheek_bpm,left_cheek_quality,right_cheek_bpm,right_cheek_quality,consensus_bpm,quality,regions_used
8.0,3.0,13.0,77.95092988963461,6.434868013363883,47.969803009005915,6.137917823228904,53.96602838513166,3.446389840488015,47.969803009005915,6.711468289669296,49.237943309699105,5.431925317795405,"forehead,left_cheek,right_cheek"
10.0,5.0,15.0,78.08128261520255,9.819365877267476,48.050020070893886,5.518392241428998,54.05627257975562,5.277397771015478,54.05627257975562,5.323098483746595,54.05627257975562,5.300248127381036,"left_cheek,right_cheek"
12.0,7.0,17.0,78.08128261520255,6.1078326219221,90.09378763292604,5.555161740436615,60.062525088617356,4.508429982084125,54.05627257975562,3.394924760678976,78.08128261520255,6.1078326219221,combined
14.0,9.0,19.0,71.95470451350887,3.955052937435258,89.9433806418861,7.002857168313534,65.95847913738314,6.325803087582078,95.93960601801183,6.121239488348979,89.9433806418861,7.002857168313534,forehead
16.0,11.0,21.0,71.95470451350887,3.9117710714354694,95.93960601801183,6.765854681548921,59.9622537612574,4.47839795512741,95.93960601801183,6.657100854283368,95.93960601801183,6.765854681548921,forehead
18.0,13.0,23.0,72.07503010634083,7.552933890500481,54.05627257975562,4.182701292795945,72.07503010634083,5.439219957860846,66.06877759747908,2.9758719885903404,72.07503010634085,6.496076924180663,"combined,left_cheek"
20.0,15.0,25.0,71.95470451350887,8.126334919557168,53.96602838513166,4.514058195534516,71.95470451350887,6.296587886965392,65.95847913738314,5.964538145101855,70.2004539441323,6.795820317208139,"combined,left_cheek,right_cheek"
22.0,17.0,27.0,71.95470451350887,8.137288743985117,65.95847913738314,3.0559319415874233,71.95470451350887,7.078578932814656,65.95847913738314,5.491000119512013,69.79800027503272,5.940699934474803,"combined,forehead,left_cheek,right_cheek"
24.0,19.0,29.0,72.07503010634083,7.944710867336529,102.1062926506495,3.7097942001851023,72.07503010634083,6.035198139421147,66.06877759747908,4.13818184405797,72.07503010634083,6.989954503378838,"combined,left_cheek"
26.0,21.0,31.0,54.05627257975562,4.36433171401074,72.07503010634083,4.315486569318218,72.07503010634083,3.1609184696059724,66.06877759747908,4.911293778992649,69.69375889403408,4.129232939305613,"forehead,left_cheek,right_cheek"
28.0,23.0,33.0,53.96602838513166,5.423158353211045,53.96602838513166,5.490076515126102,53.96602838513166,5.279088167118827,65.95847913738314,5.379404337713795,53.96602838513166,5.397441011818658,"combined,forehead,left_cheek"
30.0,25.0,35.0,53.96602838513166,3.624269259403064,47.969803009005915,5.743612438103481,53.96602838513166,6.391855422560776,83.94715526576034,2.9475999434753715,51.7807130851617,5.253245706689107,"combined,forehead,left_cheek"
32.0,27.0,37.0,72.07503010634083,3.3354376119432203,48.050020070893886,3.2904206836569494,54.05627257975562,6.355604824733589,126.13130268609643,3.164123377864426,54.05627257975562,6.355604824733589,left_cheek
34.0,29.0,39.0,59.9622537612574,3.8310647329024956,59.9622537612574,3.9401160409792233,59.9622537612574,4.497801523998269,125.92073289864054,4.090036534757698,59.96225376125741,4.089660765959995,"combined,forehead,left_cheek"
