window_center_sec,forehead_hr,forehead_quality,forehead_peak_prominence,left_cheek_hr,left_cheek_quality,left_cheek_peak_prominence,right_cheek_hr,right_cheek_quality,right_cheek_peak_prominence,forehead_left_difference,forehead_right_difference,left_right_difference,consensus_hr,regions_used,accepted,rejection_reason
8.968515601230912,65.14046059162439,2.5055467965875855,1.5054810460843754e-06,75.16206991341276,5.4268011711648985,3.184860356629406e-06,60.129655930730216,4.230950912484014,1.1654030834420218e-05,10.021609321788375,5.010804660894173,15.032413982682549,75.16206991341276,left_cheek,False,fewer_than_two_supporting_rois
9.935784729721885,60.129655930730216,3.093873606482895,1.4768883450037574e-06,80.17287457430695,5.059184034914824,2.30240117693772e-06,60.129655930730216,4.824437055956373,1.5229843670103132e-05,20.04321864357673,0.0,20.04321864357673,60.129655930730216,"forehead,right_cheek",True,two_or_more_supporting_rois
10.903053858212855,60.129655930730216,4.642286798603667,1.610454279274398e-06,80.17287457430695,4.447566965636598,1.6581404866895786e-06,60.129655930730216,4.677051551613016,1.0873691146129473e-05,20.04321864357673,0.0,20.04321864357673,60.129655930730216,"forehead,right_cheek",True,two_or_more_supporting_rois
11.870322986703826,60.129655930730216,5.087188498045123,1.3882204239475901e-06,80.17287457430695,3.3812408805766525,9.676938637377205e-07,55.11885126983603,4.505878924061544,9.410813774902642e-06,20.04321864357673,5.010804660894188,25.054023304470917,55.11885126983603,right_cheek,False,fewer_than_two_supporting_rois
12.837592115194798,60.129655930730216,4.693775359896243,1.202100845626837e-06,70.15126525251858,3.5192820008908616,7.546711847767173e-07,55.11885126983603,4.199310299202243,8.840975649607352e-06,10.021609321788368,5.010804660894188,15.032413982682556,55.11885126983603,right_cheek,False,fewer_than_two_supporting_rois
13.80486124368577,60.129655930730216,4.6190771228825005,1.1019296047148232e-06,70.15126525251858,4.021113526535686,8.645586557509184e-07,55.11885126983603,3.5804083929855333,7.193116972706931e-06,10.021609321788368,5.010804660894188,15.032413982682556,55.11885126983603,right_cheek,False,fewer_than_two_supporting_rois
14.77213037217674,60.129655930730216,4.594461351061409,9.75830906322114e-07,70.15126525251858,3.837758848469649,8.146516729575375e-07,55.11885126983603,3.0058935524649657,7.412959106689386e-06,10.021609321788368,5.010804660894188,15.032413982682556,55.11885126983603,right_cheek,False,fewer_than_two_supporting_rois
15.739399500667712,60.129655930730216,4.6992006634407995,8.254120074017542e-07,75.16206991341276,3.6210819210294436,9.703558923977755e-07,105.22689787877788,2.5508726204888466,6.6512172703172165e-06,15.032413982682549,45.09724194804766,30.06482796536511,60.129655930730216,forehead,False,fewer_than_two_supporting_rois
16.706668629158685,60.129655930730216,5.948263921870615,1.1190868644151287e-06,75.16206991341276,4.248319637103768,1.3145630539923071e-06,55.11885126983603,2.4697761620932694,4.639285289056847e-06,15.032413982682549,5.010804660894188,20.043218643576736,60.129655930730216,forehead,False,fewer_than_two_supporting_rois
17.673937757649654,60.129655930730216,6.395936943080962,1.1065235138104284e-06,75.16206991341276,4.51237473968795,1.3120333896630364e-06,70.15126525251858,3.543676239222755,4.133100069465139e-06,15.032413982682549,10.021609321788368,5.0108046608941805,60.129655930730216,forehead,False,fewer_than_two_supporting_rois
